,Fiat Mobi,Fiat Argo,Fiat Cronos,Fiat Toro,Volkswagen Gol,Volkswagen Polo,Volkswagen Virtus,Volkswagen T-Cross,Chevrolet Onix,Chevrolet Onix Plus,Chevrolet Tracker,Chevrolet S10,Hyundai HB20,Hyundai HB20S,Hyundai Creta,Toyota Corolla,Toyota Corolla Cross,Toyota Hilux,Honda Civic,Honda HR-V,Honda City,Nissan Kicks,Nissan Versa,Renault Kwid,Renault Sandero,Renault Duster,Jeep Renegade,Jeep Compass,Jeep Commander,Ford Ranger,Ford Territory,Peugeot 208,Peugeot 2008,Citroën C3,Citroën C4 Cactus,Caoa Chery Tiggo 5X,Caoa Chery Tiggo 7,BYD Dolphin,BYD Song Plus,GWM Haval H6,Mitsubishi L200,Mitsubishi Eclipse Cross,Suzuki Jimny,RAM Rampage,RAM 1500,BMW X1,BMW 320i,Audi A3,Audi Q3,Mercedes-Benz GLA
Usuario_1,3,0,1,5,1,5,1,4,3,4,0,5,3,0,2,0,0,4,1,1,0,2,1,3,2,1,2,5,0,4,4,1,0,5,0,0,4,2,2,3,4,4,5,4,5,1,3,4,3,3
Usuario_2,2,3,5,5,2,5,0,0,5,3,2,5,3,4,3,4,3,5,2,1,3,3,2,5,2,2,5,0,0,4,0,2,4,1,4,5,3,0,4,5,4,5,5,0,5,3,1,3,4,3
Usuario_3,3,4,0,0,1,4,5,1,2,4,4,4,2,0,5,1,0,4,3,5,3,2,2,3,3,4,0,5,4,4,4,5,2,5,1,3,5,0,2,0,5,4,4,5,4,2,3,0,1,3
Usuario_4,0,1,5,1,5,4,5,2,2,4,3,2,1,5,2,4,1,0,4,2,2,1,2,4,3,4,1,1,1,5,0,3,3,4,0,0,2,3,0,0,4,2,5,1,0,0,2,4,5,2
Usuario_5,5,5,2,4,1,2,5,3,5,2,0,5,0,3,5,2,0,4,1,3,5,2,5,1,3,0,4,4,0,4,3,3,3,1,4,1,1,0,5,5,5,0,0,4,5,4,3,4,5,5
Usuario_6,0,0,5,0,2,0,0,1,1,2,0,2,2,2,1,2,0,3,4,5,5,2,3,5,0,2,1,3,1,4,1,3,0,4,3,0,2,5,0,0,0,3,2,5,5,3,1,2,4,2
Usuario_7,2,1,4,1,4,1,2,4,5,2,4,4,1,3,1,5,2,4,1,0,5,4,1,2,5,1,3,5,0,4,1,3,2,4,1,3,1,0,4,3,5,0,3,1,2,0,3,5,4,2
Usuario_8,0,4,0,5,4,5,4,4,2,5,5,4,0,5,0,5,4,3,4,5,2,5,1,2,2,5,4,4,5,4,4,1,5,4,4,4,4,0,4,5,2,0,4,3,2,5,3,5,4,4
Usuario_9,1,4,5,4,3,2,5,3,0,0,4,0,5,5,0,0,1,4,3,3,4,2,5,1,4,0,1,0,4,0,5,3,2,3,3,1,5,5,0,3,5,3,0,0,0,0,1,3,5,3
Usuario_10,5,4,2,0,5,1,4,2,0,0,0,1,0,5,0,0,2,0,0,3,1,1,4,4,3,1,3,5,0,1,1,5,4,5,0,4,0,4,2,5,5,4,0,5,2,3,0,5,4,1
Usuario_11,0,5,4,4,4,1,4,4,0,4,4,5,0,4,3,3,0,5,0,1,0,1,1,0,5,1,0,2,0,5,0,3,4,3,2,5,2,4,3,0,5,5,1,0,0,2,4,5,0,2
Usuario_12,0,0,0,2,4,2,1,4,0,3,0,3,1,2,4,3,5,1,4,4,1,4,5,1,2,5,0,0,5,5,4,4,5,0,5,4,4,1,4,0,5,5,4,4,1,5,0,3,4,5
Usuario_13,5,1,0,1,5,5,5,5,4,5,5,0,3,1,5,4,4,4,0,4,2,0,0,0,5,0,5,0,0,4,4,5,4,1,5,4,5,0,4,5,4,0,5,0,5,4,4,1,0,4
Usuario_14,3,5,3,1,3,0,0,5,4,1,4,2,3,3,4,1,5,4,3,0,4,4,4,2,0,4,5,4,5,5,4,0,4,0,0,5,4,3,5,5,1,4,4,5,4,4,4,2,5,4
Usuario_15,5,3,0,5,4,5,2,1,4,5,2,5,3,2,1,2,5,0,1,4,0,3,1,5,5,4,1,4,5,0,3,2,0,3,1,1,5,0,2,3,5,5,5,4,5,0,2,1,1,4
Usuario_16,0,5,1,0,0,3,2,0,2,0,5,4,5,3,4,5,5,5,5,3,3,4,0,2,2,1,0,2,0,5,4,1,5,3,3,5,4,3,5,3,5,1,5,0,5,2,4,5,1,4
Usuario_17,5,4,4,1,4,0,3,0,0,0,1,5,0,5,1,4,3,0,0,2,4,5,5,5,5,2,4,4,4,0,3,3,0,4,1,2,5,5,1,2,1,2,0,2,5,3,2,0,4,3
Usuario_18,5,1,1,3,5,2,1,5,4,1,0,0,0,2,4,1,3,4,2,3,3,2,4,2,5,0,4,1,2,5,1,5,0,1,3,0,5,1,4,5,0,5,3,5,0,5,0,0,5,0
Usuario_19,2,4,0,5,4,5,0,5,2,3,5,1,5,1,0,3,4,2,0,5,0,0,4,3,5,0,4,0,5,0,4,0,4,1,4,4,5,0,4,0,1,5,4,0,4,4,1,2,5,5
Usuario_20,5,1,2,1,1,1,0,5,4,4,4,0,4,5,4,3,4,3,2,5,2,0,1,4,3,4,0,4,4,2,0,0,4,0,4,4,5,0,0,4,1,5,4,5,4,5,2,1,4,5
Usuario_21,4,4,4,1,2,5,0,5,1,5,4,1,2,3,5,5,5,3,3,4,2,4,1,0,5,4,4,5,5,0,0,3,0,1,0,5,5,3,0,0,1,4,4,5,3,5,3,0,5,5
Usuario_22,4,4,4,4,0,5,2,5,3,5,0,5,4,3,2,5,3,0,1,0,5,3,4,4,5,1,5,5,3,4,1,2,5,4,1,4,4,2,0,1,5,2,3,5,0,5,4,1,4,3
Usuario_23,5,1,1,4,0,0,5,0,3,3,4,2,2,4,4,1,0,3,0,5,2,4,0,0,2,4,5,0,5,3,5,3,4,0,4,5,4,4,5,5,3,0,0,4,0,4,0,5,5,5
Usuario_24,5,0,3,0,2,1,3,1,5,3,4,4,0,1,0,0,5,4,5,1,5,2,0,2,3,3,0,0,5,2,1,5,0,5,5,5,3,3,0,2,5,4,3,3,4,5,0,5,2,1
Usuario_25,0,1,1,5,3,5,0,4,4,1,5,5,2,3,5,1,5,0,5,4,3,5,3,5,3,5,4,0,5,1,5,3,4,5,5,4,4,0,5,4,0,4,5,1,5,5,0,0,4,5
Usuario_26,1,0,2,3,1,3,2,5,0,1,0,4,3,0,0,0,5,5,2,4,3,4,0,0,1,5,4,0,5,1,0,2,5,3,5,5,4,5,4,0,4,5,5,5,0,5,2,4,4,4
Usuario_27,4,3,1,5,0,1,3,3,3,0,3,1,0,1,5,0,4,1,2,2,5,0,5,5,3,4,1,2,0,0,5,0,1,4,2,0,4,1,5,1,5,1,1,5,3,5,3,1,4,4
Usuario_28,5,0,3,4,4,4,5,4,2,2,5,2,5,1,5,5,5,1,0,0,0,0,4,4,1,3,5,2,5,1,1,2,1,0,5,4,2,0,0,3,5,5,4,3,1,3,0,5,0,1
Usuario_29,4,4,1,0,2,0,2,1,1,0,1,4,1,3,2,3,5,4,5,4,0,5,2,3,0,2,3,0,5,4,5,3,1,0,3,3,1,2,5,1,4,2,0,5,5,5,3,4,5,4
Usuario_30,0,5,2,5,2,5,4,1,2,4,4,4,0,1,3,0,0,5,2,1,5,0,2,2,5,3,0,3,4,4,2,5,4,3,1,1,5,1,4,4,4,5,0,4,0,4,3,4,3,2
Usuario_31,1,5,5,5,5,5,3,5,2,0,1,4,3,1,5,4,5,4,0,0,5,2,3,5,0,4,5,1,2,4,1,5,1,1,1,0,1,3,0,0,0,3,3,5,5,0,5,0,0,0
Usuario_32,4,5,1,4,1,4,0,4,1,1,3,4,2,3,1,5,5,4,5,5,2,4,4,0,2,1,0,5,3,4,3,0,0,5,2,5,3,3,1,1,4,0,0,0,5,0,4,3,5,4
Usuario_33,2,5,2,1,2,2,2,4,2,5,4,0,0,1,4,0,5,4,5,0,1,5,1,1,2,4,5,5,5,5,4,4,5,5,4,4,5,5,5,4,5,4,4,4,5,4,5,4,0,5
Usuario_34,3,4,5,3,4,0,0,5,5,3,0,0,2,4,0,1,4,1,5,0,0,0,4,0,1,5,4,5,5,4,4,2,4,0,5,5,4,2,5,4,4,0,5,5,5,4,3,3,5,5
Usuario_35,5,4,1,4,4,0,1,0,4,0,0,3,5,0,1,3,1,3,3,3,1,4,0,5,0,2,0,3,4,1,2,3,4,3,0,4,0,5,0,2,5,5,4,2,2,0,2,1,3,2
Usuario_36,4,3,5,1,2,2,0,5,5,3,4,4,4,5,0,4,4,2,3,4,2,4,1,3,5,5,5,0,5,3,5,5,5,0,5,4,5,4,5,4,3,0,0,5,3,4,4,5,4,4
Usuario_37,3,5,4,0,1,1,1,4,4,2,3,0,0,3,2,5,4,4,2,0,0,0,5,2,2,3,4,1,0,5,5,2,3,4,3,4,3,3,4,3,0,3,0,5,4,0,2,0,5,1
Usuario_38,2,1,0,0,3,1,2,0,0,2,5,3,0,2,4,3,5,2,5,4,1,5,5,3,5,4,5,4,0,0,4,2,5,0,0,5,4,2,5,5,3,5,0,1,4,4,4,1,5,5
Usuario_39,4,3,3,3,5,4,3,3,5,4,2,0,1,2,1,1,4,3,0,5,0,5,3,4,5,4,4,0,3,2,3,4,0,0,0,1,1,1,4,2,4,5,3,5,2,5,4,1,1,0
Usuario_40,3,2,3,1,3,5,0,5,2,5,5,0,3,2,4,4,4,2,5,5,5,0,0,3,5,4,4,0,4,0,5,3,0,0,4,4,4,3,5,4,3,5,4,1,3,4,1,5,5,4
Usuario_41,4,1,0,4,4,3,1,3,2,5,2,5,0,3,5,3,5,1,2,2,3,4,5,4,4,0,2,2,5,5,3,5,2,0,5,3,5,5,5,1,0,2,1,1,1,0,3,5,3,1
Usuario_42,2,2,5,0,5,5,0,1,5,3,5,0,2,0,0,0,5,5,4,3,1,2,4,5,2,0,0,4,0,0,4,2,4,2,1,2,3,3,3,2,4,1,3,2,0,1,1,2,2,1
Usuario_43,0,2,5,1,4,5,1,2,5,4,3,4,2,3,3,4,3,3,3,2,3,5,5,5,3,3,2,2,4,0,2,1,0,4,3,3,2,4,5,3,1,3,5,1,0,4,3,1,5,2
Usuario_44,4,5,4,5,5,3,5,1,2,1,5,5,3,3,0,0,3,0,1,5,3,5,4,5,3,5,3,2,4,0,2,3,0,5,3,4,2,4,0,2,0,3,2,5,4,3,0,4,1,1
Usuario_45,1,3,3,0,1,0,4,1,0,0,2,5,2,0,0,3,1,4,2,5,2,0,4,0,0,0,4,4,2,2,1,2,5,5,1,2,0,4,0,3,5,2,4,2,3,0,2,5,2,4
Usuario_46,4,5,4,5,5,0,4,3,5,4,3,1,5,4,3,2,4,5,5,0,1,0,5,5,1,3,5,0,2,3,0,2,0,5,3,0,3,2,1,1,3,1,2,5,1,1,0,0,1,2
Usuario_47,4,3,1,2,5,1,2,0,0,1,0,1,5,3,4,1,5,3,5,2,4,4,2,5,2,3,1,0,2,3,1,1,2,4,4,4,0,1,4,5,0,3,5,4,0,2,2,1,2,1
Usuario_48,1,2,0,5,3,0,4,5,4,4,5,1,3,3,5,3,5,4,1,5,4,5,0,4,1,5,5,0,0,3,4,5,5,2,5,4,5,2,0,5,0,5,5,2,0,4,4,4,4,5
Usuario_49,3,2,2,0,1,5,4,4,0,2,4,1,0,0,4,2,5,2,0,4,3,4,1,4,4,5,5,0,4,5,4,0,0,2,4,5,0,0,5,5,0,0,4,3,2,4,4,1,5,5
Usuario_50,1,1,3,4,3,0,0,1,5,4,0,0,3,0,5,2,5,5,3,0,0,0,3,0,4,1,1,2,2,4,2,0,4,1,0,1,5,4,0,1,0,2,2,4,4,3,0,2,1,3
Usuario_51,0,0,4,0,1,1,2,3,1,1,0,4,5,1,1,3,5,0,5,3,5,3,4,0,4,3,4,3,1,3,2,2,5,5,2,4,2,3,0,4,2,1,1,1,0,2,5,0,4,1
Usuario_52,4,5,2,1,0,5,1,4,1,3,4,0,0,4,4,0,0,3,1,0,1,4,4,0,0,0,4,5,0,2,0,0,0,5,5,5,5,5,4,4,4,5,4,5,4,5,1,4,4,4
Usuario_53,1,5,2,3,1,3,3,0,4,2,1,4,2,0,2,2,1,2,0,0,5,2,0,5,5,1,4,1,1,4,1,2,2,0,3,2,1,3,0,5,1,4,2,2,4,0,5,1,2,3
Usuario_54,1,0,4,1,4,3,5,0,5,2,0,4,4,0,4,3,0,0,4,4,0,5,1,0,3,3,3,1,4,5,1,3,2,1,3,2,4,4,3,5,4,0,4,5,5,3,0,3,2,5
Usuario_55,2,3,4,4,3,4,5,5,0,4,1,4,3,0,3,3,1,5,3,0,5,3,0,5,0,2,3,1,4,4,2,5,0,3,0,1,5,0,3,1,0,5,4,5,5,4,2,5,4,3
Usuario_56,5,2,2,5,4,1,4,5,0,5,5,4,0,5,2,5,3,5,0,2,5,5,1,2,4,4,5,5,2,0,2,0,4,0,0,5,3,1,2,3,5,2,5,4,4,3,3,0,1,2
Usuario_57,3,2,1,0,1,2,5,4,4,4,5,0,2,5,4,5,0,4,4,5,0,0,0,4,0,4,0,4,4,2,0,3,4,3,5,5,4,2,5,4,4,0,5,0,3,4,0,2,5,4
Usuario_58,2,3,0,4,3,3,5,5,1,4,2,4,1,1,2,1,3,5,5,2,0,1,0,1,1,0,4,3,0,5,0,3,0,1,2,5,0,3,5,2,4,0,2,4,0,2,3,1,3,5
Usuario_59,5,0,1,5,0,5,2,0,2,5,4,2,3,0,5,0,5,3,0,4,0,4,5,2,3,5,4,4,4,0,4,4,4,4,4,4,0,4,4,5,4,5,5,2,0,4,0,3,4,5
Usuario_60,0,5,3,2,4,2,3,1,4,1,0,2,0,0,4,2,2,1,4,3,3,4,5,4,3,2,2,2,1,2,1,4,1,4,5,3,0,3,4,2,3,5,0,2,5,1,5,2,1,2
Usuario_61,4,1,0,0,5,3,4,4,4,1,2,2,5,5,3,0,3,5,2,3,1,0,3,4,5,1,3,2,3,5,0,2,0,5,4,3,0,2,2,1,4,5,0,4,0,0,5,2,3,1
Usuario_62,0,2,2,1,0,0,0,4,1,4,4,2,0,3,4,4,0,4,4,5,1,5,1,3,4,4,4,5,5,3,4,2,5,0,5,5,5,0,4,4,2,0,4,5,5,4,0,3,5,4
Usuario_63,5,2,3,0,4,3,1,2,4,2,3,4,5,5,0,4,0,4,2,2,1,2,4,2,2,0,5,0,2,0,2,3,0,2,0,3,4,4,1,3,4,0,4,0,5,5,2,0,1,4
Usuario_64,4,2,1,0,3,1,0,4,2,0,0,5,3,1,0,0,0,0,0,5,4,0,2,5,0,5,5,0,4,2,4,0,5,5,4,0,4,2,0,4,4,4,5,0,4,5,5,2,4,4
Usuario_65,2,0,3,3,4,0,0,4,2,2,5,5,3,4,4,4,4,3,1,5,5,5,2,5,2,5,4,0,5,1,4,5,5,2,5,4,4,0,4,0,5,0,0,5,3,4,1,2,5,4
Usuario_66,0,2,3,3,5,1,2,5,1,3,0,5,5,0,5,5,1,3,1,1,1,2,0,0,2,1,2,2,4,2,0,3,2,2,2,0,3,3,1,4,2,4,4,1,3,4,3,3,3,4
Usuario_67,3,3,1,5,1,5,3,3,2,1,1,0,0,0,1,5,0,4,0,4,4,1,0,3,2,0,2,3,0,4,3,5,1,0,4,2,2,5,1,4,4,0,2,4,5,2,5,5,1,3
Usuario_68,5,5,0,0,5,2,2,5,0,3,4,5,3,3,4,5,4,2,1,5,2,4,1,4,4,5,5,5,5,5,4,5,0,2,4,5,4,5,5,5,2,0,0,0,0,4,2,5,4,0
